State,Year,Total_Pub_Under,4y_Pub_Under,2y_Pub_Under,Total_Pub_Postbacc,Total_Priv_Under,Np_4y_Priv_Under,Fp_4y_Priv_Under,Np_2y_Priv_Under,Fp_2y_Priv_Under,Total_Priv_Postbacc,Np_4y_Priv_Postbacc,Fp_4y_Priv_Postbacc,Total_Enrollment
Montana,2019-20,39054,31386,7668,5362,3272,2851,0,366,55,378,378,0,42326
Montana,2020-21,36336,29730,6606,5474,3253,2786,0,417,50,398,398,0,39589
Nebraska,2012-13,90630,45250,45380,13536,25091,22378,1943,161,609,10321,10242,79,115721
Nebraska,2013-14,88133,45629,42504,13760,25299,22586,2045,166,502,10751,10648,103,113432
Nebraska,2014-15,85923,45935,39988,13898,24890,22551,1870,149,320,11114,11007,107,110813
Nebraska,2015-16,85884,46107,39777,14146,24425,22551,1568,151,155,11632,11527,105,110309
Nebraska,2016-17,86641,46688,39953,14391,23695,22328,1059,150,158,11375,11273,102,110336
Nebraska,2017-18,86537,46239,40298,14501,23581,22680,800,32,69,11245,11142,103,110118
Nebraska,2018-19,86113,45884,40229,14481,23200,23032,107,15,46,11144,11144,0,109313
Nebraska,2019-20,85229,45010,40219,14273,24890,24791,40,16,43,11117,11117,0,110119
Nebraska,2020-21,83300,45344,37956,14014,25790,25724,24,0,42,11922,11922,0,109090
Nevada,2012-13,95487,83884,11603,8132,11367,884,5718,0,4765,3314,2537,777,106854
Nevada,2013-14,94688,83484,11204,7850,10813,798,5132,0,4883,3387,2748,639,105501
Nevada,2014-15,98191,87085,11106,7837,9770,858,4155,0,4757,3407,2904,503,107961
Nevada,2015-16,96451,85366,11085,7967,8390,885,3261,417,3827,3289,2912,377,104841
Nevada,2016-17,98046,87173,10873,8150,6763,954,2334,287,3188,3071,2816,255,104809
Nevada,2017-18,99363,88643,10720,8501,6553,971,1728,272,3582,3157,3023,134,105916
Nevada,2018-19,99950,99950,0,8708,6049,1118,1763,97,3071,3091,3018,73,105999
Nevada,2019-20,101467,101467,0,9093,6223,1035,1217,0,3971,2988,2932,56,107690
Nevada,2020-21,97408,97408,0,9226,6970,869,1416,0,4685,3056,3034,22,104378
New Hampshire,2012-13,39172,24525,14647,4117,27598,23723,3591,284,0,11791,11674,117,66770
New Hampshire,2013-14,38591,23936,14655,4120,34115,30981,2916,218,0,15614,15482,132,72706
New Hampshire,2014-15,39105,24066,15039,4193,44840,42537,2159,144,0,18846,18762,84,83945
New Hampshire,2015-16,38728,23957,14771,4138,58305,56753,1429,123,0,22795,22732,63,97033
New Hampshire,2016-17,37200,23756,13444,3970,67121,66940,0,181,0,24845,24845,0,104321
New Hampshire,2017-18,35881,23428,12453,3880,83592,83469,0,123,0,25831,25831,0,119473
New Hampshire,2018-19,34762,22977,11785,3973,95337,95225,0,112,0,26671,26671,0,130099
New Hampshire,2019-20,33058,21870,11188,4163,105419,105312,0,107,0,26698,26698,0,138477
New Hampshire,2020-21,31099,20934,10165,4153,123415,123323,0,92,0,29878,29878,0,154514
New Jersey,2012-13,318677,145889,172788,37779,58224,49637,5684,0,2903,25285,24754,531,376901
New Jersey,2013-14,315183,147603,167580,37639,58890,48731,6164,0,3995,25227,24752,475,374073
New Jersey,2014-15,313248,150411,162837,38068,59368,48824,6427,0,4117,25524,25084,440,372616
New Jersey,2015-16,301480,145648,155832,38263,58619,48657,7021,0,2941,25417,24978,439,360099
New Jersey,2016-17,298857,148389,150468,38233,58595,48576,6980,0,3039,25692,25246,446,357452
New Jersey,2017-18,296598,149736,146862,37999,59015,48665,6497,0,3853,25425,25028,397,355613
New Jersey,2018-19,290369,150871,139498,38668,60770,50006,6530,159,4075,24609,24248,361,351139
New Jersey,2019-20,288336,150770,137566,38871,61281,50630,6013,200,4438,24687,24309,378,349617
New Jersey,2020-21,267678,148325,119353,40190,59887,49261,5875,218,4533,24588,24242,346,327565
New Mexico,2012-13,133345,52226,81119,13447,8428,684,6068,0,1676,1204,650,554,141773
New Mexico,2013-14,131149,51415,79734,13232,7749,657,5515,0,1577,1325,846,479,138898
New Mexico,2014-15,125373,49776,75597,12938,6747,706,4563,0,1478,1188,862,326,132120
New Mexico,2015-16,118486,47804,70682,12801,5841,770,3599,0,1472,1061,847,214,124327
New Mexico,2016-17,116054,46967,69087,12984,4638,856,2355,0,1427,931,802,129,120692
New Mexico,2017-18,112589,45559,67030,12691,3365,831,1193,0,1341,849,759,90,115954
New Mexico,2018-19,107982,43597,64385,12311,2196,736,473,0,987,808,762,46,110178
New Mexico,2019-20,106283,42265,64018,11833,2282,648,502,0,1132,1418,764,654,108565
New Mexico,2020-21,93558,39733,53825,12707,2367,638,608,0,1121,1463,785,678,95925
New York,2012-13,652778,323712,329066,69496,418273,364666,29081,4175,20351,169439,166835,2604,1071051
New York,2013-14,652024,324421,327603,68910,413747,362167,28771,3961,18848,169549,166753,2796,1065771
New York,2014-15,653867,329864,324003,67980,409758,361372,28359,2797,17230,167450,164531,2919,1063625
New York,2015-16,641936,329523,312413,67207,406136,361252,27111,2509,15264,170141,167036,3105,1048072
New York,2016-17,633226,329353,303873,67666,400116,358908,25621,2594,12993,172643,169436,3207,1033342
New York,2017-18,629549,333062,296487,67909,388219,350177,24581,2691,10770,174563,171319,3244,1017768
New York,2018-19,620840,334678,286162,69257,383982,346439,24678,2705,10160,176208,173206,3002,1004822
New York,2019-20,608044,331923,276121,70348,379442,340607,29684,3306,5845,177978,175047,2931,987486
New York,2020-21,574782,326376,248406,71932,363273,326186,27234,3214,6639,172425,169865,2560,938055
North Carolina,2012-13,420434,175760,244674,45250,87836,72615,11013,706,3502,24511,20734,3777,508270
North Carolina,2013-14,415307,175328,239979,44793,88225,72369,11310,678,3868,26873,23289,3584,503532
North Carolina,2014-15,410954,177744,233210,44224,87683,71893,11964,701,3125,27184,23910,3274,498637
North Carolina,2015-16,403516,180376,223140,44539,86834,72260,10991,705,2878,27553,24719,2834,490350
North Carolina,2016-17,404100,182462,221638,46062,84840,71823,8870,687,3460,26494,24811,1683,488940
North Carolina,2017-18,407640,185880,221760,46992,82193,70983,7469,624,3117,27006,25556,1450,489833
North Carolina,2018-19,409025,190357,218668,47103,79715,69937,7059,594,2125,27867,26591,1276,488740
North Carolina,2019-20,414621,192108,222513,48349,77999,67933,8237,556,1273,27594,26470,1124,492620
North Carolina,2020-21,404223,192684,211539,50276,75709,66776,7664,490,779,27465,26578,887,479932
North Dakota,2012-13,42738,35870,6868,6191,5385,4385,1000,0,0,855,855,0,48123
North Dakota,2013-14,42188,35166,7022,6563,5404,4440,964,0,0,908,908,0,47592
North Dakota,2014-15,41831,34989,6842,6461,4893,4100,793,0,0,863,863,0,46724
North Dakota,2015-16,41888,34929,6959,6309,4686,4083,603,0,0,957,957,0,46574
North Dakota,2016-17,41686,34708,6978,6278,4983,4434,549,0,0,1256,1256,0,46669
North Dakota,2017-18,41313,34107,7206,6261,4751,4224,527,0,0,1424,1424,0,46064
North Dakota,2018-19,40348,33021,7327,6183,5225,4612,613,0,0,1530,1528,2,45573
North Dakota,2019-20,39318,32061,7257,6272,5213,4569,644,0,0,1551,1542,9,44531
North Dakota,2020-21,37971,31170,6801,6620,5129,4510,619,0,0,1588,1579,9,43100
Northern Marianas,2012-13,1178,1178,0,0,0,0,0,0,0,0,0,0,1178
Northern Marianas,2013-14,1109,1109,0,0,0,0,0,0,0,0,0,0,1109
Northern Marianas,2014-15,1186,1186,0,0,0,0,0,0,0,0,0,0,1186
Northern Marianas,2015-16,1155,1155,0,0,0,0,0,0,0,0,0,0,1155
Northern Marianas,2016-17,1038,1038,0,0,0,0,0,0,0,0,0,0,1038
Northern Marianas,2017-18,1216,1216,0,0,0,0,0,0,0,0,0,0,1216
Northern Marianas,2018-19,1194,1194,0,0,0,0,0,0,0,0,0,0,1194
Northern Marianas,2019-20,1253,1253,0,0,0,0,0,0,0,0,0,0,1253
Northern Marianas,2020-21,1255,1255,0,0,0,0,0,0,0,0,0,0,1255
Ohio,2012-13,464084,274612,189472,60254,154803,114940,21604,2020,16239,30677,29311,1366,618887
Ohio,2013-14,459095,274036,185059,60944,147530,113021,19087,1086,14336,30078,29014,1064,606625
Ohio,2014-15,448069,271845,176224,62175,141357,112060,16197,1047,12053,28637,27939,698,589426
Ohio,2015-16,443022,272251,170771,61793,134332,109198,12069,1318,11747,28613,28026,587,577354
Ohio,2016-17,439769,269254,170515,61705,127945,108668,6803,1269,11205,28810,28409,401,567714
Ohio,2017-18,437512,266581,170931,59961,123331,106789,5814,1419,9309,28883,28599,284,560843
Ohio,2018-19,435996,274388,161608,59616,120552,105503,4742,1164,9143,28798,28636,162,556548
Ohio,2019-20,453332,308545,144787,58526,116435,101063,4871,1052,9449,28152,28077,75,569767
Ohio,2020-21,454560,316750,137810,58094,115021,98163,3807,931,12120,26880,26825,55,569581
Oklahoma,2012-13,173639,104886,68753,21472,28425,19228,4723,0,4474,4928,4760,168,202064
Oklahoma,2013-14,165890,103408,62482,21188,28833,20259,4504,0,4070,4986,4858,128,194723
Oklahoma,2014-15,161766,101661,60105,20683,27921,19857,3823,0,4241,4979,4880,99,189687
Oklahoma,2015-16,158646,100266,58380,20362,26686,19689,2990,1155,2852,5210,5152,58,185332
Oklahoma,2016-17,157278,99101,58177,20363,25477,19832,2379,1194,2072,5227,5201,26,182755
Oklahoma,2017-18,154146,97921,56225,19994,22993,18425,1459,581,2528,4918,4913,5,177139
Oklahoma,2018-19,150793,96081,54712,20186,20371,17378,1088,578,1327,4593,4593,0,171164
Oklahoma,2019-20,147322,93378,53944,20627,20015,16888,673,671,1783,4692,4692,0,167337
Oklahoma,2020-21,143156,90993,52163,21653,19608,16576,708,951,1373,4797,4797,0,162764
Oregon,2012-13,194691,85844,108847,17619,30503,21722,5218,0,3563,11882,11648,234,225194
Oregon,2013-14,190555,87378,103177,17762,28899,21628,4319,0,2952,13890,13680,210,219454
Oregon,2014-15,183412,86202,97210,18233,28117,21728,4102,0,2287,15785,15528,257,211529
Oregon,2015-16,180035,86892,93143,17913,26857,21826,3523,111,1397,15841,15596,245,206892
Oregon,2016-17,179220,86594,92626,17978,24764,21411,2370,0,983,14273,14023,250,203984
Oregon,2017-18,174205,86475,87730,18129,23993,21226,1963,34,770,13609,13363,246,198198
Oregon,2018-19,173373,84805,88568,18570,22901,20723,1366,45,767,13296,13041,255,196274
Oregon,2019-20,171341,84727,86614,18560,22242,20264,1212,33,733,13573,13330,243,193583
Oregon,2020-21,156250,81500,74750,18483,18976,17444,1066,0,466,10050,9796,254,175226
Other jurisdictions,2012-13,71872,62004,9868,6497,159491,116551,11058,804,31078,22083,21305,778,231363
Other jurisdictions,2013-14,71584,61979,9605,6552,154568,113585,13086,0,27897,21839,21002,837,226152
Other jurisdictions,2014-15,71140,62039,9101,6576,156136,109819,15379,724,30214,21991,21106,885,227276
Other jurisdictions,2015-16,73295,64328,8967,6832,145819,105802,15833,889,23295,22127,20503,1624,219114
Other jurisdictions,2016-17,74577,65907,8670,6932,137647,100398,16920,804,19525,22807,20851,1956,212224
Other jurisdictions,2017-18,33851,25956,7895,3568,132384,97598,16606,358,17822,22603,20330,2273,166235
Other jurisdictions,2018-19,65719,59271,6448,6680,118240,89148,15722,127,13243,21926,19659,2267,183959
Other jurisdictions,2019-20,62364,56466,5898,6477,108888,87511,16144,115,5118,22604,20015,2589,171252
Other jurisdictions,2020-21,59592,57641,1951,6327,109839,77234,28404,57,4144,23112,20241,2871,169431
Palau,2012-13,680,0,680,0,0,0,0,0,0,0,0,0,680
Palau,2013-14,646,0,646,0,0,0,0,0,0,0,0,0,646
Palau,2014-15,604,0,604,0,0,0,0,0,0,0,0,0,604
Palau,2015-16,627,0,627,0,0,0,0,0,0,0,0,0,627
Palau,2016-17,587,0,587,0,0,0,0,0,0,0,0,0,587
Palau,2017-18,532,0,532,0,0,0,0,0,0,0,0,0,532
Palau,2018-19,497,0,497,0,0,0,0,0,0,0,0,0,497
Palau,2019-20,444,0,444,0,0,0,0,0,0,0,0,0,444
Palau,2020-21,553,0,553,0,0,0,0,0,0,0,0,0,553
Pennsylvania,2012-13,378805,234456,144349,47085,261543,199686,22031,8511,31315,89809,88494,1315,640348
Pennsylvania,2013-14,373376,234073,139303,46473,256944,198395,20682,8688,29179,88789,87689,1100,630320
Pennsylvania,2014-15,366915,232934,133981,46676,248075,196194,17823,8045,26013,88985,88066,919,614990
Pennsylvania,2015-16,361361,231242,130119,47693,237643,194394,14001,8504,20744,89973,89264,709,599004
Pennsylvania,2016-17,357105,230479,126626,49240,227384,192694,10729,7822,16139,92041,91475,566,584489
Pennsylvania,2017-18,351077,227702,123375,49866,222467,195351,8063,6053,13000,93879,93398,481,573544
Pennsylvania,2018-19,342616,221101,121515,50155,213074,195317,3627,4692,9438,94484,94028,456,555690
Pennsylvania,2019-20,339033,220552,118481,50265,209677,192176,3560,5055,8886,94365,94030,335,548710
Pennsylvania,2020-21,320483,214637,105846,49996,202018,185296,3276,4187,9259,95018,94766,252,522501
Puerto Rico,2012-13,56556,53380,3176,6023,159416,116476,11058,804,31078,22081,21303,778,215972
Puerto Rico,2013-14,56617,53707,2910,6070,154493,113510,13086,0,27897,21835,20998,837,211110
Puerto Rico,2014-15,56415,53807,2608,6108,156067,109750,15379,724,30214,21988,21103,885,212482
Puerto Rico,2015-16,58850,56054,2796,6354,145754,105737,15833,889,23295,22122,20498,1624,204604
Puerto Rico,2016-17,60785,57942,2843,6361,137583,100334,16920,804,19525,22804,20848,1956,198368
Puerto Rico,2017-18,20420,18166,2254,2960,132331,97545,16606,358,17822,22601,20328,2273,152751
Puerto Rico,2018-19,52701,50763,1938,6110,118181,89089,15722,127,13243,21923,19656,2267,170882
Puerto Rico,2019-20,49879,48128,1751,5895,108834,87457,16144,115,5118,22602,20013,2589,158713
Puerto Rico,2020-21,47259,45861,1398,5745,109566,76961,28404,57,4144,23112,20241,2871,156825
Rhode Island,2012-13,38813,20929,17884,4391,34525,34525,0,0,0,6223,6223,0,73338
Rhode Island,2013-14,38558,20859,17699,4228,34698,34698,0,0,0,5976,5976,0,73256
Rhode Island,2014-15,38660,21107,17553,4105,34792,34792,0,0,0,5942,5942,0,73452
Rhode Island,2015-16,37282,21087,16195,4038,34690,34690,0,0,0,6282,6282,0,71972
Rhode Island,2016-17,37311,22210,15101,4058,35185,35185,0,0,0,6794,6794,0,72496
Rhode Island,2017-18,36942,22184,14758,4076,34459,34459,0,0,0,7289,7289,0,71401
Rhode Island,2018-19,36001,21462,14539,4081,33393,33393,0,0,0,7393,7393,0,69394
Rhode Island,2019-20,35755,20980,14775,4008,32896,32896,0,0,0,7418,7418,0,68651
Rhode Island,2020-21,34586,20902,13684,3819,31042,31042,0,0,0,7640,7640,0,65628
South Carolina,2012-13,189392,87432,101960,19631,44443,30043,9396,950,4054,6151,3608,2543,233835
South Carolina,2013-14,188088,88104,99984,19629,44001,29600,9123,818,4460,6126,3777,2349,232089
South Carolina,2014-15,185617,89520,96097,20139,42977,29975,9124,793,3085,5896,3784,2112,228594
South Carolina,2015-16,181885,91269,90616,20602,41785,30260,8297,771,2457,5382,3575,1807,223670
South Carolina,2016-17,179618,92223,87395,20677,40600,30213,6215,991,3181,5668,3902,1766,220218
South Carolina,2017-18,179741,93688,86053,20881,40208,29471,6201,790,3746,5558,3876,1682,219949
South Carolina,2018-19,175543,94704,80839,20982,38244,31696,2929,869,2750,5764,4385,1379,213787
South Carolina,2019-20,176284,106508,69776,21525,37337,32219,3195,0,1923,6426,5133,1293,213621
South Carolina,2020-21,170573,104902,65671,22399,35033,30462,2977,0,1594,7004,5885,1119,205606
South Dakota,2012-13,38626,32279,6347,5559,10633,6217,4122,294,0,1240,762,478,49259
South Dakota,2013-14,38604,32151,6453,5668,9586,6043,3290,253,0,1271,857,414,48190
South Dakota,2014-15,38323,32087,6236,5809,8911,6006,2681,224,0,920,909,11,47234
South Dakota,2015-16,38450,32328,6122,5804,8451,6093,2188,170,0,959,958,1,46901
South Dakota,2016-17,38410,31874,6536,5895,8318,6163,2155,0,0,1062,1062,0,46728
South Dakota,2017-18,38974,32241,6733,5656,7835,5905,1930,0,0,1155,1155,0,46809
South Dakota,2018-19,38327,31490,6837,5544,7914,6069,1845,0,0,1580,1336,244,46241
South Dakota,2019-20,38121,31018,7103,5347,7025,5380,1645,0,0,1448,1340,108,45146
South Dakota,2020-21,37101,29943,7158,5310,6697,5471,1226,0,0,1741,1409,332,43798
Tennessee,2012-13,209423,117121,92302,25587,85866,60506,13788,1509,10063,22765,20801,1964,295289
Tennessee,2013-14,204850,115127,89723,24452,85680,62058,12641,639,10342,23215,21212,2003,290530
Tennessee,2014-15,200410,114174,86236,23623,79552,61610,9000,758,8184,22990,21044,1946,279962
Tennessee,2015-16,199752,113071,86681,23659,76996,60862,7694,736,7704,23092,21387,1705,276748
Tennessee,2016-17,197712,112781,84931,23576,76953,61818,6052,682,8401,23510,21925,1585,274665
Tennessee,2017-18,199236,112867,86369,23943,76104,61400,6201,682,7821,23874,22377,1497,275340
Tennessee,2018-19,200939,112838,88101,24342,72783,60524,6200,709,5350,24051,22741,1310,273722
Tennessee,2019-20,201279,113442,87837,25067,72017,58232,7791,779,5215,24723,23369,1354,273296
Tennessee,2020-21,191187,112349,78838,26298,73196,57561,9482,890,5263,25589,24127,1462,264383
Texas,2012-13,1210112,509101,701011,137748,152740,95856,27404,3635,25845,39698,36634,3064,1362852
Texas,2013-14,1211302,515701,695601,138307,152794,97516,26298,2345,26635,38975,36192,2783,1364096
Texas,2014-15,1220003,529711,690292,145336,149944,97103,26212,2587,24042,40179,36980,3199,1369947
Texas,2015-16,1231190,548513,682677,148086,150844,99171,25259,3005,23409,40494,37884,2610,1382034
Texas,2016-17,1269436,574688,694748,151538,140457,100699,16623,1941,21194,41828,39618,2210,1409893
Texas,2017-18,1297523,586680,710843,150862,139863,100485,16237,1921,21220,42268,40330,1938,1437386
Texas,2018-19,1317560,634490,683070,151027,133000,99810,15879,1610,15701,41955,40333,1622,1450560
Texas,2019-20,1329575,691479,638096,150574,135223,98701,16689,1711,18122,42319,41215,1104,1464798
Texas,2020-21,1262192,876338,385854,156359,138413,97234,18919,2249,20011,44435,43296,1139,1400605
U.S. Service Academies,2012-13,15202,15202,0,25,0,0,0,0,0,0,0,0,15202
U.S. Service Academies,2013-14,14970,14970,0,27,0,0,0,0,0,0,0,0,14970
U.S. Service Academies,2014-15,14712,14712,0,22,0,0,0,0,0,0,0,0,14712
U.S. Service Academies,2015-16,14786,14786,0,26,0,0,0,0,0,0,0,0,14786
U.S. Service Academies,2016-17,15044,15044,0,23,0,0,0,0,0,0,0,0,15044
U.S. Service Academies,2017-18,15260,15260,0,21,0,0,0,0,0,0,0,0,15260
U.S. Service Academies,2018-19,15504,15504,0,19,0,0,0,0,0,0,0,0,15504
U.S. Service Academies,2019-20,15375,15375,0,18,0,0,0,0,0,0,0,0,15375
U.S. Service Academies,2020-21,15521,15521,0,17,0,0,0,0,0,0,0,0,15521
U.S. Virgin Islands,2012-13,2240,2240,0,183,0,0,0,0,0,0,0,0,2240
U.S. Virgin Islands,2013-14,2143,2143,0,178,0,0,0,0,0,0,0,0,2143
U.S. Virgin Islands,2014-15,2110,2110,0,170,0,0,0,0,0,0,0,0,2110
U.S. Virgin Islands,2015-16,2138,2138,0,183,0,0,0,0,0,0,0,0,2138
U.S. Virgin Islands,2016-17,2112,2112,0,258,0,0,0,0,0,0,0,0,2112
U.S. Virgin Islands,2017-18,1898,1898,0,272,0,0,0,0,0,0,0,0,1898
U.S. Virgin Islands,2018-19,1737,1737,0,247,0,0,0,0,0,0,0,0,1737
U.S. Virgin Islands,2019-20,1850,1850,0,234,0,0,0,0,0,0,0,0,1850
U.S. Virgin Islands,2020-21,1587,1587,0,251,0,0,0,0,0,0,0,0,1587
United States,2012-13,13473743,6686083,6787660,1406600,4258688,2707469,1174906,37606,338707,1503788,1208503,295285,17732431
United States,2013-14,13347002,6721861,6625141,1398556,4127833,2725249,1058986,32198,311400,1502398,1216557,285841,17474835
United States,2014-15,13244837,6847072,6397765,1410178,4047950,2740976,990254,30365,286355,1504404,1224748,279656,17292787
United States,2015-16,13145720,6930054,6215666,1422383,3891058,2769125,846671,50049,225213,1518109,1244198,273911,17036778
United States,2016-17,13141086,7300010,5841076,1441886,3728126,2762212,716745,50557,198612,1529916,1265028,264888,16869212
United States,2017-18,13100953,7394275,5706678,1459202,3659378,2768627,655471,48390,186890,1546065,1289460,256605,16760331
United States,2018-19,13049326,7502622,5546704,1479938,3560909,2776499,585906,45154,153350,1555745,1312591,243154,16610235
United States,2019-20,13001543,7603444,5398099,1499514,3563523,2760234,602344,44644,156301,1572919,1340385,232534,16565066
United States,2020-21,12321146,7618489,4702657,1546093,3530760,2710697,608937,32252,178874,1593799,1358070,235729,15851906
Utah,2012-13,158627,128630,29997,12374,80398,64939,11373,2191,1895,15910,14140,1770,239025
Utah,2013-14,155720,123717,32003,12591,78963,70280,5499,2036,1148,16981,15641,1340,234683
Utah,2014-15,155207,124959,30248,12509,88314,80850,4584,2006,874,18896,17692,1204,243521
Utah,2015-16,158396,129046,29350,12829,101144,94787,3836,2153,368,21158,20069,1089,259540
Utah,2016-17,162096,132195,29901,13212,110508,104750,3247,2119,392,25718,24658,1060,272604
Utah,2017-18,166638,137018,29620,13396,120830,115262,3033,2045,490,31470,30303,1167,287468
Utah,2018-19,170354,141198,29156,13595,138414,133169,2769,1996,480,37409,36479,930,308768
Utah,2019-20,175517,146000,29517,13834,149537,143341,3693,1994,509,42395,41352,1043,325054
Utah,2020-21,174616,147323,27293,14406,158629,151657,4604,1829,539,47921,46566,1355,333245
Vermont,2012-13,24179,17868,6311,2322,13619,13102,517,0,0,4583,4583,0,37798
Vermont,2013-14,23624,17424,6200,2228,13487,13025,462,0,0,4195,4195,0,37111
Vermont,2014-15,23340,17321,6019,2303,14035,13613,422,0,0,4305,4305,0,37375
Vermont,2015-16,22999,17016,5983,2384,14297,13918,379,0,0,4183,4183,0,37296
Vermont,2016-17,23158,17295,5863,2578,14626,14326,300,0,0,4357,4357,0,37784
Vermont,2017-18,22758,17254,5504,2542,14475,14331,144,0,0,4080,4080,0,37233
Vermont,2018-19,22521,17143,5378,2676,13948,13875,73,0,0,3769,3769,0,36469
Vermont,2019-20,22295,17191,5104,2836,12931,12873,58,0,0,3124,3124,0,35226
Vermont,2020-21,21204,16102,5102,2920,12436,12414,22,0,0,3086,3086,0,33640
Virginia,2012-13,360859,166432,194427,48894,131693,86643,35835,326,8889,47250,41340,5910,492552
Virginia,2013-14,358480,167935,190545,47435,129378,87264,33648,449,8017,48462,43081,5381,487858
Virginia,2014-15,353725,168757,184968,45634,128043,88815,31203,421,7604,50506,45363,5143,481768
Virginia,2015-16,349238,170096,179142,44972,125294,89041,29548,923,5782,50255,45074,5181,474532
Virginia,2016-17,343785,170510,173275,45661,118567,87164,26372,747,4284,49448,44949,4499,462352
Virginia,2017-18,342738,173369,169369,46511,114970,86207,24541,578,3644,49993,46203,3790,457708
Virginia,2018-19,338130,174068,164062,46749,113428,86041,23787,393,3207,53734,50681,3053,451558
Virginia,2019-20,335242,174794,160448,49151,113796,85751,24065,372,3608,58874,56001,2873,449038
Virginia,2020-21,327196,174214,152982,49934,113106,85589,24012,41,3464,65519,63055,2464,440302
Washington,2012-13,288656,149345,139311,22841,40961,30851,5760,33,4317,13056,12278,778,329617
Washington,2013-14,287233,156936,130297,22959,40422,31058,5142,52,4170,12763,12112,651,327655
Washington,2014-15,289241,187101,102140,23282,39716,30653,4824,61,4178,12954,12455,499,328957
Washington,2015-16,290496,206044,84452,24010,38397,30570,3728,1760,2339,12509,12267,242,328893
Washington,2016-17,290938,229566,61372,24418,38506,29988,5087,1513,1918,12300,12106,194,329444
Washington,2017-18,293623,257603,36020,24713,37630,29669,4870,1388,1703,11978,11804,174,331253
Washington,2018-19,293919,261380,32539,25458,35880,29694,3943,941,1302,11799,11632,167,329799
Washington,2019-20,289892,259983,29909,25760,35831,29403,3755,993,1680,11536,11385,151,325723
Washington,2020-21,261554,238666,22888,26953,33661,27686,3355,948,1672,11891,11778,113,295215
West Virginia,2012-13,80594,59433,21161,12423,55561,6683,46581,0,2297,13601,997,12604,136155
West Virginia,2013-14,78675,58196,20479,12107,54239,7240,44582,0,2417,12933,1265,11668,132914
West Virginia,2014-15,75553,56432,19121,12289,57252,7432,47555,0,2265,11958,1247,10711,132805
West Virginia,2015-16,74091,55662,18429,12251,53521,7449,43586,0,2486,10880,1216,9664,127612
West Virginia,2016-17,72861,55212,17649,12243,50668,7419,40464,0,2785,10586,1390,9196,123529
West Virginia,2017-18,72112,55405,16707,11783,48864,7150,38944,0,2770,10204,1433,8771,120976
West Virginia,2018-19,70170,53686,16484,11435,48512,6983,39214,0,2315,9986,1385,8601,118682
West Virginia,2019-20,70462,53754,16708,11333,47811,6305,38906,0,2600,9553,1434,8119,118273
West Virginia,2020-21,63745,50934,12811,11314,51295,6300,42106,0,2889,11388,1486,9902,115040
Wisconsin,2012-13,269565,158586,110979,23851,60208,47457,11974,0,777,16108,15580,528,329773
Wisconsin,2013-14,265616,156895,108721,23723,58505,46739,10990,0,776,16177,15688,489,324121
Wisconsin,2014-15,262773,159000,103773,23953,55818,45643,9630,0,545,16350,15883,467,318591
Wisconsin,2015-16,258250,156861,101389,24000,52093,44099,7868,0,126,15905,15479,426,310343
Wisconsin,2016-17,254431,166647,87784,24011,47922,42194,5561,0,167,15495,14974,521,302353
Wisconsin,2017-18,255152,165137,90015,24381,45974,43291,2305,0,378,15263,15161,102,301126
Wisconsin,2018-19,252742,162191,90551,24436,44784,42627,1990,0,167,14447,14408,39,297526
Wisconsin,2019-20,249677,156961,92716,24840,44138,41845,2104,0,189,14201,14148,53,293815
Wisconsin,2020-21,236513,152495,84018,25271,42755,40436,2088,0,231,14319,14249,70,279268
Wyoming,2012-13,33150,10194,22956,2709,1953,0,145,0,1808,0,0,0,35103
Wyoming,2013-14,32886,10117,22769,2661,1537,75,0,0,1462,0,0,0,34423
Wyoming,2014-15,31620,10124,21496,2696,1145,60,0,0,1085,0,0,0,32765
Wyoming,2015-16,31090,10045,21045,2603,512,50,0,462,0,0,0,0,31602
Wyoming,2016-17,30224,9788,20436,2578,563,45,0,518,0,0,0,0,30787
Wyoming,2017-18,29945,9791,20154,2606,464,0,0,464,0,0,0,0,30409
Wyoming,2018-19,30020,9998,20022,2452,38,0,0,0,38,0,0,0,30058
Wyoming,2019-20,29678,9807,19871,2442,253,0,0,0,253,0,0,0,29931
Wyoming,2020-21,27871,14935,12936,2487,585,0,0,0,585,0,0,0,28456
United States,2021-22,11944633,7466861,4477772,1598891,3503787,2698780,600183,27574,177250,1612540,1386750,225790,15448420
Alabama,2021-22,207241,131801,75440,42939,32151,18116,13201,295,539,10429,5478,4951,239392
Alaska,2021-22,18128,18128,0,1808,815,420,0,78,317,178,178,0,18943
Arizona,2021-22,322815,170336,152479,43693,179110,5802,159804,0,13504,68528,6154,62374,501925
Arkansas,2021-22,112180,72905,39275,18970,13785,12438,355,977,15,2821,2774,47,125965
California,2021-22,1884611,860966,1023645,129707,276584,161427,83523,753,30881,191437,159530,31907,2161195
Colorado,2021-22,225965,206797,19168,41897,59335,18954,24320,0,16061,19171,14159,5012,285300
Connecticut,2021-22,85075,48228,36847,13098,61576,48367,13209,0,0,24836,23777,1059,146651
Delaware,2021-22,36211,36211,0,5387,9378,9003,267,108,0,5275,5242,33,45589
District of Columbia,2021-22,2947,2947,0,529,50487,41909,7957,0,621,45472,42173,3299,53434
Florida,2021-22,660494,641296,19198,79945,209694,133750,48167,7955,19822,58053,54029,4024,870188
Georgia,2021-22,372580,263902,108678,67542,78328,57723,13587,2282,4736,25904,22271,3633,450908
